arquivo,num_vertices,num_edges,algorithm,execution_time,repetition,fully_reachable,explored_percentage
USA-road-d.NW.gr.gz,1207945,2840208,sssp_duan_et_al,30.464814480000086,1,True,100.0
USA-road-d.NW.gr.gz,1207945,2840208,sssp_duan_et_al,30.547831719999976,2,True,100.0
USA-road-d.NW.gr.gz,1207945,2840208,sssp_duan_et_al,30.722794040000053,3,True,100.0
USA-road-d.NW.gr.gz,1207945,2840208,sssp_duan_et_al,30.544487480000043,4,True,100.0
USA-road-d.NY.gr.gz,264346,733846,dijkstra,0.696935799999892,0,True,100.0
USA-road-d.NY.gr.gz,264346,733846,dijkstra,0.6987205200000517,1,True,100.0
USA-road-d.NY.gr.gz,264346,733846,dijkstra,0.696919280000202,2,True,100.0
USA-road-d.NY.gr.gz,264346,733846,dijkstra,0.6998722400001043,3,True,100.0
USA-road-d.NY.gr.gz,264346,733846,dijkstra,0.6980598800000735,4,True,100.0
USA-road-d.NY.gr.gz,264346,733846,sssp_duan_et_al,5.772808080000004,0,True,100.0
USA-road-d.NY.gr.gz,264346,733846,sssp_duan_et_al,5.830570439999974,1,True,100.0
USA-road-d.NY.gr.gz,264346,733846,sssp_duan_et_al,5.880816119999963,2,True,100.0
USA-road-d.NY.gr.gz,264346,733846,sssp_duan_et_al,5.888708960000031,3,True,100.0
USA-road-d.NY.gr.gz,264346,733846,sssp_duan_et_al,5.883798360000128,4,True,100.0
